mgen_id	sample_id	plate_number	plate_well	filename_r1	filename_r2	mgen_library_notes	sra_accession
SS01022	SS01022	1	B06	2019-08-21/Mg1B06_S18_R1_001.fastq.gz	2019-08-21/Mg1B06_S18_R2_001.fastq.gz		SRR14874761
SS01023	SS01023	1	B07	2019-08-21/Mg1B07_S19_R1_001.fastq.gz	2019-08-21/Mg1B07_S19_R2_001.fastq.gz		SRR14874760
SS01027	SS01027	1	B08	2019-08-21/Mg1B08_S20_R1_001.fastq.gz	2019-08-21/Mg1B08_S20_R2_001.fastq.gz		SRR14874759
SS01026	SS01026	1	B09	2019-08-21/Mg1B09_S21_R1_001.fastq.gz	2019-08-21/Mg1B09_S21_R2_001.fastq.gz		SRR14874757
SS01030	SS01030	1	B10	2019-08-21/Mg1B10_S22_R1_001.fastq.gz	2019-08-21/Mg1B10_S22_R2_001.fastq.gz		SRR14874756
SS01033	SS01033	1	B11	2019-08-21/Mg1B11_S23_R1_001.fastq.gz	2019-08-21/Mg1B11_S23_R2_001.fastq.gz		SRR14874755
SS01036	SS01036	1	B12	2019-08-21/Mg1B12_S24_R1_001.fastq.gz	2019-08-21/Mg1B12_S24_R2_001.fastq.gz		SRR14874754
SS01037	SS01037	1	C01	2019-08-21/Mg1C01_S25_R1_001.fastq.gz	2019-08-21/Mg1C01_S25_R2_001.fastq.gz		SRR14874753
SS01038	SS01038	1	C02	2019-08-21/Mg1C02_S26_R1_001.fastq.gz	2019-08-21/Mg1C02_S26_R2_001.fastq.gz		SRR14874752
SS01042	SS01042	1	C03	2019-08-21/Mg1C03_S27_R1_001.fastq.gz	2019-08-21/Mg1C03_S27_R2_001.fastq.gz		SRR14874751
SS01048	SS01048	1	C04	2019-08-21/Mg1C04_S28_R1_001.fastq.gz	2019-08-21/Mg1C04_S28_R2_001.fastq.gz		SRR14874750
SS01047	SS01047	1	C05	2019-08-21/Mg1C05_S29_R1_001.fastq.gz	2019-08-21/Mg1C05_S29_R2_001.fastq.gz		SRR14874749
SS01052	SS01052	1	C06	2019-08-21/Mg1C06_S30_R1_001.fastq.gz	2019-08-21/Mg1C06_S30_R2_001.fastq.gz		SRR14874748
SS01055	SS01055	1	C07	2019-08-21/Mg1C07_S31_R1_001.fastq.gz	2019-08-21/Mg1C07_S31_R2_001.fastq.gz		SRR14874746
SS01059	SS01059	1	C08	2019-08-21/Mg1C08_S32_R1_001.fastq.gz	2019-08-21/Mg1C08_S32_R2_001.fastq.gz		SRR14874745
SS01057	SS01057	1	C09	2019-08-21/Mg1C09_S33_R1_001.fastq.gz	2019-08-21/Mg1C09_S33_R2_001.fastq.gz		SRR14874744
SS01056	SS01056	1	C10	2019-08-21/Mg1C10_S34_R1_001.fastq.gz	2019-08-21/Mg1C10_S34_R2_001.fastq.gz		SRR14874743
SS01083	SS01083	1	C11	2019-08-21/Mg1C11_S35_R1_001.fastq.gz	2019-08-21/Mg1C11_S35_R2_001.fastq.gz		SRR14874742
SS01053	SS01053	1	C12	2019-08-21/Mg1C12_S36_R1_001.fastq.gz	2019-08-21/Mg1C12_S36_R2_001.fastq.gz		SRR14874741
SS01054	SS01054	1	D01	2019-08-21/Mg1D01_S37_R1_001.fastq.gz	2019-08-21/Mg1D01_S37_R2_001.fastq.gz		SRR14874740
SS01060	SS01060	1	D02	2019-08-21/Mg1D02_S38_R1_001.fastq.gz	2019-08-21/Mg1D02_S38_R2_001.fastq.gz		SRR14874739
SS01063	SS01063	1	D03	2019-08-21/Mg1D03_S39_R1_001.fastq.gz	2019-08-21/Mg1D03_S39_R2_001.fastq.gz		SRR14874738
